dataset_name,batch_size,time,proof_time,setup_time,tree_depth,total_nodes,occupancy
MNIST,8,20.62514615058899,1.1444091796875e-05,3.482661008834839,14,16383,1077944
MNIST,16,16.419462203979492,8.106231689453125e-06,3.3300817012786865,13,8191,539964
MNIST,32,13.78774905204773,5.4836273193359375e-06,3.1769843101501465,12,4095,271536
MNIST,64,12.62837815284729,5.7220458984375e-06,2.9703824520111084,11,2047,135644
MNIST,128,12.102479934692383,5.4836273193359375e-06,2.887416124343872,10,1023,67928
FMNIST,8,20.667032480239868,6.4373016357421875e-06,3.4622881412506104,14,16383,1077944
FMNIST,16,15.964985847473145,5.4836273193359375e-06,3.4061877727508545,13,8191,539964
FMNIST,32,14.960453271865845,9.059906005859375e-06,3.3011810779571533,12,4095,271536
FMNIST,64,12.787221908569336,5.4836273193359375e-06,3.157623767852783,11,2047,135644
FMNIST,128,12.167936325073242,6.4373016357421875e-06,3.054147958755493,10,1023,67928
CIFAR10,8,24.510186433792114,6.67572021484375e-06,3.5937209129333496,14,16383,1002944
CIFAR10,16,20.36776876449585,6.4373016357421875e-06,3.481670618057251,13,8191,502464
CIFAR10,32,18.242018699645996,5.9604644775390625e-06,3.3123490810394287,12,4095,252816
CIFAR10,64,17.205448389053345,4.76837158203125e-06,3.1253280639648438,11,2047,126284
CIFAR10,128,16.78267765045166,5.7220458984375e-06,3.084275484085083,10,1023,63248
